county,2020,2021,2022,2023,state,county_state,id
Autauga County,10.983851006147441,10.988727495263804,10.997522715461125,11.007783657672535, Alabama,"Autauga County, Alabama",01001
Baldwin County,12.359767507202404,12.386053966106232,12.415243025206761,12.44314671504436, Alabama,"Baldwin County, Alabama",01003
Barbour County,10.125390334414204,10.107774429000033,10.114558522616068,10.10989177984604, Alabama,"Barbour County, Alabama",01005
Bibb County,10.007306881175126,10.014984203549803,9.998161166138809,9.99277966001489, Alabama,"Bibb County, Alabama",01007
Blount County,10.987104639696746,10.986630810300307,10.994000462947588,10.999028462679751, Alabama,"Blount County, Alabama",01009
Bullock County,9.232982102457008,9.224539091375995,9.224539091375995,9.199986959896691, Alabama,"Bullock County, Alabama",01011
Butler County,9.853509182729887,9.846387960495555,9.834566107069707,9.819127203918054, Alabama,"Butler County, Alabama",01013
Calhoun County,11.66343810658284,11.658565748169828,11.659447117632995,11.665036924142507, Alabama,"Calhoun County, Alabama",01015
Chambers County,10.453081864230466,10.448366716426971,10.438927737066038,10.436436637789742, Alabama,"Chambers County, Alabama",01017
Cherokee County,10.125390334414204,10.129586731675971,10.140652345212592,10.152922437804406, Alabama,"Cherokee County, Alabama",01019
Chilton County,10.71568363387369,10.720156824378703,10.733086856231573,10.745722618580869, Alabama,"Chilton County, Alabama",01021
Choctaw County,9.44351345892757,9.43731656931057,9.427948631791715,9.413444467952665, Alabama,"Choctaw County, Alabama",01023
Clarke County,10.042684117724416,10.031880767304527,10.024554080515571,10.013999775333557, Alabama,"Clarke County, Alabama",01025
Clay County,9.561841957140917,9.558882332684727,9.559799343294607,9.55470991405776, Alabama,"Clay County, Alabama",01027
Cleburne County,9.620063070336988,9.626151772138492,9.640302951684735,9.657523073436215, Alabama,"Cleburne County, Alabama",01029
Coffee County,10.888352401565209,10.90041773707303,10.91217513367625,10.926711562628427, Alabama,"Coffee County, Alabama",01031
Colbert County,10.956125708294287,10.962041443958253,10.968077592589802,10.974403137513908, Alabama,"Colbert County, Alabama",01033
Conecuh County,9.354786976341211,9.334326351757174,9.325809621782296,9.321344930019094, Alabama,"Conecuh County, Alabama",01035
Coosa County,9.24329147211587,9.241257474610904,9.240578555036793,9.236787541991031, Alabama,"Coosa County, Alabama",01037
Covington County,10.532256199159868,10.533961138568015,10.534839113429197,10.544077482357398, Alabama,"Covington County, Alabama",01039
Crenshaw County,9.485165142425407,9.477998292597036,9.476390144300849,9.48044384215367, Alabama,"Crenshaw County, Alabama",01041
Cullman County,11.3866363550199,11.40354577211859,11.414904614615788,11.429717753953536, Alabama,"Cullman County, Alabama",01043
Dale County,10.804806768480137,10.807604483478574,10.809626933353908,10.81719495047468, Alabama,"Dale County, Alabama",01045
Dallas County,10.549831343981374,10.53249613197983,10.511321912742025,10.495847079283381, Alabama,"Dallas County, Alabama",01047
DeKalb County,11.179674035975085,11.183198428253235,11.185559638845115,11.192293112378426, Alabama,"DeKalb County, Alabama",01049
Elmore County,11.383511299208681,11.394018047433386,11.403110598963021,11.412452983385178, Alabama,"Elmore County, Alabama",01051
Escambia County,10.510123231148095,10.509441521393695,10.508786642522878,10.506655319476549, Alabama,"Escambia County, Alabama",01053
Etowah County,11.546872682269886,11.54258134987774,11.541542075916107,11.544821339953792, Alabama,"Etowah County, Alabama",01055
Fayette County,9.700820421076743,9.688250164980516,9.685455913108095,9.678279371339702, Alabama,"Fayette County, Alabama",01057
Franklin County,10.375925715897324,10.373428679828658,10.370674719272289,10.367284459872343, Alabama,"Franklin County, Alabama",01059
Geneva County,10.192343935215678,10.189418091949102,10.194663514242166,10.203147601747316, Alabama,"Geneva County, Alabama",01061
Greene County,8.948975607841776,8.937743936942443,8.916237731721479,8.901230352110781, Alabama,"Greene County, Alabama",01063
Hale County,9.600488775972455,9.597369917928662,9.58870831219998,9.608310798322087, Alabama,"Hale County, Alabama",01065
Henry County,9.750860711077213,9.766120240743215,9.779623565313742,9.7925001243465, Alabama,"Henry County, Alabama",01067
Houston County,11.583234802868224,11.584967017835199,11.590321596625932,11.59415516020291, Alabama,"Houston County, Alabama",01069
Jackson County,10.869425224299697,10.872731200862956,10.876593305964516,10.886819920140972, Alabama,"Jackson County, Alabama",01071
Jefferson County,13.422048622681672,13.41501806588263,13.407668627450297,13.404371885585258, Alabama,"Jefferson County, Alabama",01073
Lamar County,9.543449817892206,9.527775402577312,9.52558897214577,9.522300336887486, Alabama,"Lamar County, Alabama",01075
Lauderdale County,11.451315983338537,11.460083603750695,11.470800538669558,11.480546890906206, Alabama,"Lauderdale County, Alabama",01077
Lawrence County,10.40695617984855,10.406472518522957,10.409913511957432,10.419360417523633, Alabama,"Lawrence County, Alabama",01079
Lee County,12.07113454967672,12.087266586764049,12.104582408450446,12.118415605599626, Alabama,"Lee County, Alabama",01081
Limestone County,11.554096198673905,11.583411887221422,11.616095583458746,11.649674176469427, Alabama,"Limestone County, Alabama",01083
Lowndes County,9.238441802087058,9.204825191288073,9.18840146445743,9.181632207839439, Alabama,"Lowndes County, Alabama",01085
Macon County,9.876321884463358,9.847181716325034,9.827254246536539,9.818474178209172, Alabama,"Macon County, Alabama",01087
Madison County,12.875190930690755,12.89086250072968,12.908191955888324,12.930233879619289, Alabama,"Madison County, Alabama",01089
Marengo County,9.866304761408411,9.851404472665903,9.841133310789152,9.835422821621998, Alabama,"Marengo County, Alabama",01091
Marion County,10.281101732488516,10.275085591132715,10.281307359823968,10.283429703413207, Alabama,"Marion County, Alabama",01093
Marshall County,11.489677308650418,11.495636874832686,11.507189043118291,11.520457031385575, Alabama,"Marshall County, Alabama",01095
Mobile County,12.934531466456619,12.932129802984642,12.927316394740465,12.927904459950028, Alabama,"Mobile County, Alabama",01097
Monroe County,9.88867843688242,9.880730565413511,9.873646710525106,9.864174835150587, Alabama,"Monroe County, Alabama",01099
Montgomery County,12.338599784060314,12.332418911847045,12.329621250524813,12.323766788346816, Alabama,"Montgomery County, Alabama",01101
Morgan County,11.722278360815213,11.722983776735783,11.72989801476077,11.737132450637635, Alabama,"Morgan County, Alabama",01103
Perry County,9.042868018032435,9.027378610294805,8.975124239427704,8.953898535260459, Alabama,"Perry County, Alabama",01105
Pickens County,9.850561346726723,9.831884133676436,9.83889569664295,9.835636885627954, Alabama,"Pickens County, Alabama",01107
Pike County,10.401227936753463,10.396536096199437,10.404505235311033,10.408405761837653, Alabama,"Pike County, Alabama",01109
Randolph County,10.002699202607076,10.007126587295614,10.019491228292434,10.033901591258061, Alabama,"Randolph County, Alabama",01111
Russell County,10.989656070979896,10.97987127369317,10.978387581244487,10.980944299131446, Alabama,"Russell County, Alabama",01113
St. Clair County,11.425808627874423,11.438999014801933,11.449783301804267,11.467425880898862, Alabama,"St. Clair County, Alabama",01115
Shelby County,12.319008396505735,12.334698902623192,12.34597805587418,12.358793732547838, Alabama,"Shelby County, Alabama",01117
Sumter County,9.408453253565146,9.389908140573516,9.383368881858544,9.369649154461065, Alabama,"Sumter County, Alabama",01119
Talladega County,11.30927812146152,11.29891507903724,11.299088472976319,11.303832736878679, Alabama,"Talladega County, Alabama",01121
Tallapoosa County,10.628230294685824,10.623739069288082,10.619203139938547,10.613418101130419, Alabama,"Tallapoosa County, Alabama",01123
Tuscaloosa County,12.35253815565999,12.37018780038214,12.374506547038857,12.377388022591994, Alabama,"Tuscaloosa County, Alabama",01125
Walker County,11.084263375257862,11.076526810092139,11.07345880018605,11.077949153487676, Alabama,"Walker County, Alabama",01127
Washington County,9.637501738166108,9.630562721059254,9.622052592844813,9.617271072245957, Alabama,"Washington County, Alabama",01129
Wilcox County,9.262363400043334,9.251770181739323,9.22414465295258,9.204724633190548, Alabama,"Wilcox County, Alabama",01131
Winston County,10.064457783419048,10.071329788065249,10.074958790275668,10.069467984116963, Alabama,"Winston County, Alabama",01133
Aleutians East Borough,8.139440521874608,8.136518252115291,8.140315540159985,8.149312843635345, Alaska,"Aleutians East Borough, Alaska",02013
Aleutians West Census Area,8.559102594493448,8.546169299652755,8.53503310954457,8.548691858475609, Alaska,"Aleutians West Census Area, Alaska",02016
Anchorage Municipality,12.580710780941791,12.574766571266752,12.567178259537911,12.564009293185915, Alaska,"Anchorage Municipality, Alaska",02020
Bethel Census Area,9.834191063533472,9.830594227015803,9.812413388136733,9.810494685686963, Alaska,"Bethel Census Area, Alaska",02050
Bristol Bay Borough,6.721425700790643,6.7357800142423265,6.76849321164863,6.738152494595957, Alaska,"Bristol Bay Borough, Alaska",02060
Denali Borough,7.3864708488298945,7.374629015218945,7.362010551259734,7.367708572374371, Alaska,"Denali Borough, Alaska",02068
Dillingham Census Area,8.484256691169973,8.475537516147405,8.460411177317253,8.435332164935916, Alaska,"Dillingham Census Area, Alaska",02070
Fairbanks North Star Borough,11.465173261932716,11.467854874601327,11.463756228962145,11.459946540179342, Alaska,"Fairbanks North Star Borough, Alaska",02090
Haines Borough,7.642044402873258,7.637234388789473,7.635303886259415,7.635303886259415, Alaska,"Haines Borough, Alaska",02100
Hoonah-Angoon Census Area,7.765569081097317,7.753623546559746,7.731492029245684,7.724004656676065, Alaska,"Hoonah-Angoon Census Area, Alaska",02105
Juneau City and Borough,10.380001195584374,10.372834716355579,10.3653329940804,10.35948733401834, Alaska,"Juneau City and Borough, Alaska",02110
Kenai Peninsula Borough,10.98430918852901,11.001199435961073,11.012231673736794,11.022278214892363, Alaska,"Kenai Peninsula Borough, Alaska",02122
Ketchikan Gateway Borough,9.54072267395999,9.537195079502435,9.530392824458414,9.527920994773828, Alaska,"Ketchikan Gateway Borough, Alaska",02130
Kodiak Island Borough,9.476313501265748,9.463275708098129,9.444542550647126,9.438670449977693, Alaska,"Kodiak Island Borough, Alaska",02150
Kusilvak Census Area,9.032528630660057,9.033245134153809,9.013595294516504,8.987321812850125, Alaska,"Kusilvak Census Area, Alaska",02158
Lake and Peninsula Borough,7.27931883541462,7.257707677160043,7.227662498728654,7.193685818395112, Alaska,"Lake and Peninsula Borough, Alaska",02164
Matanuska-Susitna Borough,11.58528333515993,11.617267462114127,11.63931138943388,11.654763511618295, Alaska,"Matanuska-Susitna Borough, Alaska",02170
Nome Census Area,9.213236175088209,9.199683791787654,9.189218875354072,9.186355009225672, Alaska,"Nome Census Area, Alaska",02180
North Slope Borough,9.306014122044465,9.310547632393208,9.288319413292772,9.268892258925797, Alaska,"North Slope Borough, Alaska",02185
Northwest Arctic Borough,8.9614943233096,8.940498217652733,8.916371914881694,8.903951072058707, Alaska,"Northwest Arctic Borough, Alaska",02188
Petersburg Borough,8.132412674500905,8.125926802707886,8.122668023346407,8.139440521874608, Alaska,"Petersburg Borough, Alaska",02195
Prince of Wales-Hyder Census Area,8.655388690167637,8.651724084373843,8.639410824140487,8.647519453091812, Alaska,"Prince of Wales-Hyder Census Area, Alaska",02198
Sitka City and Borough,9.039077442538963,9.033961124637857,9.030376034755907,9.021839764105513, Alaska,"Sitka City and Borough, Alaska",02220
Skagway Municipality,7.121252453244542,7.044905117129371,6.9957661563048505,6.9985096422506015, Alaska,"Skagway Municipality, Alaska",02230
Southeast Fairbanks Census Area,8.82776136765472,8.854664928370534,8.855948534052018,8.864605368075784, Alaska,"Southeast Fairbanks Census Area, Alaska",02240
Wrangell City and Borough,7.661997558901893,7.650644551436897,7.635786861395585,7.6324011266014535, Alaska,"Wrangell City and Borough, Alaska",02275
Yakutat City and Borough,6.525029657843462,6.565264970035361,6.529418838262226,6.532334292222349, Alaska,"Yakutat City and Borough, Alaska",02282
Yukon-Koyukuk Census Area,8.57715877258367,8.57130251706327,8.550434525196039,8.542665987389269, Alaska,"Yukon-Koyukuk Census Area, Alaska",02290
Apache County,11.09609096962448,11.088109327580149,11.090309111544167,11.082696241715446, Arizona,"Apache County, Arizona",04001
Cochise County,11.740276153857035,11.744981184671014,11.73995744653124,11.733184861104576, Arizona,"Cochise County, Arizona",04003
Coconino County,11.885812283436236,11.869879369995699,11.879115991807584,11.880840996132179, Arizona,"Coconino County, Arizona",04005
Gila County,10.884648000696686,10.888352401565209,10.89529383688643,10.896794879558815, Arizona,"Gila County, Arizona",04007
Graham County,10.562198555774946,10.569289229700592,10.566742375231037,10.584688662077673, Arizona,"Graham County, Arizona",04009
Greenlee County,9.161990111035136,9.148464968258095,9.140668698726863,9.145161645951188, Arizona,"Greenlee County, Arizona",04011
La Paz County,9.715288758569297,9.704121561132915,9.713234625415893,9.72376262158944, Arizona,"La Paz County, Arizona",04012
Maricopa County,15.307303700182885,15.319463058052392,15.33191894791691,15.338490612915827, Arizona,"Maricopa County, Arizona",04013
Mohave County,12.274595406532505,12.288408107448202,12.305488023828373,12.317980679332386, Arizona,"Mohave County, Arizona",04015
Navajo County,11.57836670353579,11.587346245337217,11.59726661340398,11.600707378353762, Arizona,"Navajo County, Arizona",04017
Pima County,13.859694893475332,13.863265901176856,13.871395494609573,13.876758044583676, Arizona,"Pima County, Arizona",04019
Pinal County,12.971975276856156,13.014762576402417,13.049872251296451,13.090333865471747, Arizona,"Pinal County, Arizona",04021
Santa Cruz County,10.772938217564464,10.778039202827545,10.793023547101463,10.80279487936987, Arizona,"Santa Cruz County, Arizona",04023
Yavapai County,12.376730613014807,12.398146493766806,12.414021337461842,12.425533423752698, Arizona,"Yavapai County, Arizona",04025
Yuma County,12.233974736377117,12.241845112618302,12.249486478333871,12.270084465485025, Arizona,"Yuma County, Arizona",04027
Arkansas County,9.747243015452291,9.722385252146903,9.710994440420677,9.699349742461278, Arkansas,"Arkansas County, Arkansas",05001
Ashley County,9.849928535441565,9.833815879286808,9.817275855717062,9.812577677176286, Arkansas,"Ashley County, Arkansas",05003
Baxter County,10.637920620001616,10.650744058743106,10.656906351437641,10.666044184468241, Arkansas,"Baxter County, Arkansas",05005
Benton County,12.565905597707596,12.59234474048969,12.620900453124134,12.647589990930836, Arkansas,"Benton County, Arkansas",05007
Boone County,10.52891783292566,10.542548067192307,10.55268284556689,10.559192437620203, Arkansas,"Boone County, Arkansas",05009
Bradley County,9.258654232254733,9.244065241377804,9.22700081286929,9.220686664030326, Arkansas,"Bradley County, Arkansas",05011
Calhoun County,8.462948176563842,8.461257559085935,8.452547997922705,8.442685139241176, Arkansas,"Calhoun County, Arkansas",05013
Carroll County,10.248494691607178,10.259026851874566,10.265244560881653,10.268616659121419, Arkansas,"Carroll County, Arkansas",05015
Chicot County,9.225819942824568,9.215526898663482,9.193601047971885,9.16303909885817, Arkansas,"Chicot County, Arkansas",05017
Clark County,9.970445020661009,9.96382978154229,9.965334955862208,9.96524094881161, Arkansas,"Clark County, Arkansas",05019
Clay County,9.583901931071338,9.572341108670264,9.56598478510039,9.561067663645012, Arkansas,"Clay County, Arkansas",05021
Cleburne County,10.114720452824503,10.127750477118255,10.136700239527121,10.144274539022932, Arkansas,"Cleburne County, Arkansas",05023
Cleveland County,8.929567707825337,8.920789888464375,8.918248591035702,8.906257878156621, Arkansas,"Cleveland County, Arkansas",05025
Columbia County,10.032056653330836,10.020826044953361,10.011713957606998,10.005592775473282, Arkansas,"Columbia County, Arkansas",05027
